,Date,day,month,year,cases,deaths,Country,Population,Continent,CFR
2529,2020-04-28,28,4,2020,31,0,Central_African_Republic,4666377.0,Africa,0.0
2573,2020-04-28,28,4,2020,0,0,Chad,15477751.0,Africa,
2668,2020-04-28,28,4,2020,26,0,China,1392730000.0,Asia,0.0
2837,2020-04-28,28,4,2020,7,0,Congo,5244363.0,Africa,0.0
2881,2020-04-28,28,4,2020,2,0,Costa_Rica,4999441.0,America,0.0
2933,2020-04-28,28,4,2020,14,0,Cote_dIvoire,25069229.0,Africa,0.0
3141,2020-04-28,28,4,2020,0,0,Cura̤ao,159849.0,America,
3553,2020-04-28,28,4,2020,0,0,Dominica,71625.0,America,
2386,2020-04-28,28,4,2020,3,0,Cape_Verde,543767.0,Africa,0.0
3590,2020-04-28,28,4,2020,0,0,Dominican_Republic,10627165.0,America,
3932,2020-04-28,28,4,2020,25,0,El_Salvador,6420744.0,America,0.0
3973,2020-04-28,28,4,2020,0,0,Equatorial_Guinea,1308974.0,Africa,
4018,2020-04-28,28,4,2020,0,0,Eritrea,,Africa,
4171,2020-04-28,28,4,2020,6,0,Eswatini,1367000.0,Africa,0.0
4216,2020-04-28,28,4,2020,1,0,Ethiopia,109224559.0,Africa,0.0
4262,2020-04-28,28,4,2020,0,0,Falkland_Islands_(Malvinas),,America,
2489,2020-04-28,28,4,2020,0,0,Cayman_Islands,64174.0,America,
2108,2020-04-28,28,4,2020,0,0,Cambodia,16249798.0,Asia,
8335,2020-04-28,28,4,2020,1,0,Monaco,38682.0,Europe,0.0
1193,2020-04-28,28,4,2020,1,0,Barbados,286641.0,America,0.0
276,2020-04-28,28,4,2020,3,0,Andorra,77006.0,Europe,0.0
322,2020-04-28,28,4,2020,1,0,Angola,30809762.0,Africa,0.0
360,2020-04-28,28,4,2020,0,0,Anguilla,,America,
393,2020-04-28,28,4,2020,0,0,Antigua_and_Barbuda,96286.0,America,
597,2020-04-28,28,4,2020,0,0,Aruba,105845.0,America,
987,2020-04-28,28,4,2020,0,0,Bahamas,385640.0,America,
1029,2020-04-28,28,4,2020,76,0,Bahrain,1569439.0,Asia,0.0
1467,2020-04-28,28,4,2020,0,0,Belize,383071.0,America,
2080,2020-04-28,28,4,2020,0,0,Burundi,11175378.0,Africa,
1503,2020-04-28,28,4,2020,0,0,Benin,11485048.0,Africa,
1586,2020-04-28,28,4,2020,0,0,Bhutan,754394.0,Asia,
1679,2020-04-28,28,4,2020,0,0,"Bonaire, Saint Eustatius and Saba",,America,
1753,2020-04-28,28,4,2020,0,0,Botswana,2254126.0,Africa,
1901,2020-04-28,28,4,2020,0,0,British_Virgin_Islands,29802.0,America,
1934,2020-04-28,28,4,2020,0,0,Brunei_Darussalam,428962.0,Asia,
2033,2020-04-28,28,4,2020,3,0,Burkina_Faso,19751535.0,Africa,0.0
4287,2020-04-28,28,4,2020,0,0,Faroe_Islands,48497.0,Europe,
4327,2020-04-28,28,4,2020,0,0,Fiji,883483.0,Oceania,
